# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1635346955.2012155,0,116.88870239257812,0.0,107.56307983398438,9.422433853149414,-0.09680955857038498,,,,,,,,
1,1635346955.4866648,800,33.190330505371094,0.0,32.2197151184082,1.0641160011291504,-0.09350250661373138,,,,,,,,
2,1635346955.67914,1600,14.064165115356445,0.0,13.621780395507812,0.5350141525268555,-0.09262941777706146,,,,,,,,
3,1635346955.834368,2400,-3.222808599472046,0.0,-3.254513740539551,0.11078593134880066,-0.07908075302839279,,,,,,,,
4,1635346956.0131884,3200,-1.195363163948059,0.0,-1.1625014543533325,0.014445062726736069,-0.04730679467320442,,,,,,,,
5,1635346956.193647,4000,0.3425849378108978,0.0,0.3467632830142975,0.027381926774978638,-0.0315602608025074,,,,,,,,
6,1635346956.3737175,4800,-0.5331009030342102,0.0,-0.5122522115707397,0.007964853197336197,-0.028813527897000313,,,,,,,,
7,1635346956.5045204,5600,1.472784399986267,0.0,1.4267678260803223,0.07101956009864807,-0.02500293403863907,,,,,,,,
8,1635346956.6663,6400,2.716073989868164,0.0,-3.4860639572143555,6.237675189971924,-0.03553725779056549,,,,,,,,
9,1635346956.8467581,7200,0.4245181381702423,0.0,-4.44924259185791,4.939016342163086,-0.06525561958551407,,,,,,,,
10,1635346956.9638336,8000,9.044580459594727,0.0,6.900969982147217,2.2324602603912354,-0.08885019272565842,,,,,,,,
11,1635346957.1423266,8800,6.4047532081604,0.0,6.194205284118652,0.2986503839492798,-0.08810239285230637,,,,,,,,
12,1635346957.2769268,9600,2.909345865249634,0.0,2.653975486755371,0.34391653537750244,-0.0885460376739502,,,,,,,,
13,1635346957.4780755,10400,2.9385111331939697,0.0,2.948269844055176,0.075748011469841,-0.08550671488046646,,,,,,,,
14,1635346957.6596403,11200,1.6676437854766846,0.0,1.694887399673462,0.05628021061420441,-0.08352387696504593,,,,,,,,
15,1635346957.831951,12000,0.8498648405075073,0.0,0.9094444513320923,0.02209332399070263,-0.08167287707328796,,,,,,,,
16,1635346957.9472325,12800,-0.477264404296875,0.0,-0.40724608302116394,0.011707265861332417,-0.0817255899310112,,,,,,,,
17,1635346958.1291246,13600,-0.24930068850517273,0.0,-0.17878088355064392,0.010274379514157772,-0.08079419285058975,,,,,,,,
18,1635346958.3102956,14400,-0.37741273641586304,0.0,-0.3014402389526367,0.0036418719682842493,-0.07961438596248627,,,,,,,,
19,1635346958.4487863,15200,-0.10241355001926422,0.0,-0.03610553964972496,0.012910313904285431,-0.0792183205485344,,,,,,,,
20,1635346958.6278758,16000,-0.060037970542907715,0.0,0.006525171920657158,0.011582906357944012,-0.07814604789018631,,,,,,,,
21,1635346958.7998636,16800,-0.5333223342895508,0.0,-0.5408594608306885,0.08475933969020844,-0.07722225785255432,,,,,,,,
22,1635346958.9813704,17600,3.864684581756592,0.0,3.854574680328369,0.08515475690364838,-0.07504497468471527,,,,,,,,
23,1635346959.101896,18400,-4.136989116668701,0.0,-10.20294189453125,6.143150329589844,-0.07719744741916656,,,,,,,,
24,1635346959.2211733,19200,4.0660905838012695,0.0,2.7572054862976074,1.3838974237442017,-0.07501239329576492,,,,,,,,
25,1635346959.3861606,20000,1.601784348487854,0.0,1.5017006397247314,0.1613779366016388,-0.061294253915548325,,,,,,,,
26,1635346959.5660017,20800,1.1593695878982544,0.0,1.1194759607315063,0.09766927361488342,-0.05777565762400627,,,,,,,,
27,1635346959.7265868,21600,0.9250379800796509,0.0,0.931715726852417,0.047976262867450714,-0.05465402454137802,,,,,,,,
28,1635346959.8799694,22400,-0.28816521167755127,0.0,-0.28171873092651367,0.0449463352560997,-0.05139283090829849,,,,,,,,
29,1635346960.0593972,23200,-0.6490102410316467,0.0,-0.643065333366394,0.04279576987028122,-0.048740703612565994,,,,,,,,
30,1635346960.2038965,24000,-0.41989022493362427,0.0,-0.41018038988113403,0.03366496413946152,-0.043374817818403244,,,,,,,,
31,1635346960.3553061,24800,-0.7966950535774231,0.0,-0.7785446047782898,0.01608889363706112,-0.03423937037587166,,,,,,,,
32,1635346960.5487278,25600,-0.6648771166801453,0.0,-0.6470022201538086,0.010669919662177563,-0.028544817119836807,,,,,,,,
33,1635346960.7383375,26400,-0.5066636800765991,0.0,-0.49229758977890015,0.00900622084736824,-0.023372329771518707,,,,,,,,
34,1635346960.9073575,27200,-0.04157736152410507,0.0,-0.0459454208612442,0.024695631116628647,-0.020327571779489517,,,,,,,,
